RMSE,MAE,MSE,R2,Inference Time
28972.855099805765,12180.466133586657,839426332.6343409,0.9361323925528879,0.00028784122577933376
27485.41665990739,11438.580456592792,755448128.9687148,0.9425218596655025,0.00023209078367366346
29685.48770686237,11805.103631681071,881228180.3942769,0.9329519061903538,0.0002339832311452821
31905.44541873477,12789.58701232085,1017957447.3678635,0.9225488835424994,0.0002819303163262301
28756.404285247874,10948.398798897002,826930787.4166224,0.9370831139512724,0.00024498860503351967
34554.83890445354,12213.82487363968,1194036891.7127361,0.9091519094499286,0.000239193786022275
32318.56145820138,12118.772743601661,1044489414.7275398,0.9205302033912471,0.0005473345518112183
27225.45692191302,10632.6693440848,741225504.6069417,0.9436039855820851,0.00025009797062984734
23675.413169495194,9430.062877732107,560525188.7463065,0.9573525378853442,0.00024644718613735467
30176.1745730963,11454.507352435354,910601511.8659838,0.9307170413416881,0.00023772307606630548
29070.642307501974,11634.66321333737,845102244.1707237,0.9357005418045649,0.0002647087324497312
30301.791768613464,11468.141448405073,918198584.3884107,0.9301390193917608,0.0002347674480704374
28003.324160788048,10610.660878750474,784186164.0541756,0.9403353312325912,0.0002246249553769134
34365.503123201386,13639.036663414927,1180987804.9107642,0.9101447469640869,0.0002404936524324639
31962.0650587715,10930.551439758972,1021573602.8211418,0.9222737489797881,0.00023185479086498882
32976.364583349634,13245.208781335246,1087440621.133996,0.9172622682747271,0.00023530007794845935
26308.6881955176,11046.473521241765,692147074.5689671,0.94733810944969,0.00023181043392003968
29769.633095463476,10830.124475390468,886231054.6385143,0.9325712633680879,0.00022664007752440696
28767.7823659309,11943.74089409351,827585302.2535648,0.9370333153030183,0.00026618949202604074
26824.595160869394,9972.15733145648,719558905.5445378,0.9452524850272822,0.00023770886798237645
27947.489848265002,11988.45517413474,781062188.8188753,0.9405730183484772,0.0002532220164010691
25420.74863730058,10847.741234378613,646214461.2808193,0.9508328843935507,0.00023464789224225422
31618.467699537337,13434.692618106641,999727499.6666859,0.9239359059628067,0.0002405328112979268
29463.608945311164,10249.024652878734,868104252.0822201,0.9339504380078726,0.00023110037626222123
30133.49936221125,13279.072575827751,908027783.8123857,0.9309128629958492,0.00023645924967388775
29929.772868312062,12912.050289173036,895791303.948749,0.9318438734515405,0.00024105920348056528
28181.686876472315,11451.913999617898,794207475.2035319,0.9395728615056957,0.00023138211217037466
26055.638916884738,10973.949229898157,678896319.3670785,0.9483462908692031,0.00024484825688739155
34879.31843395291,16471.221850094666,1216566854.4170876,0.9074377211312422,0.00023766243180563284
29043.161551821227,12941.063875776645,843505232.9251869,0.9358220501291827,0.00023914873600006104
29706.71148820179,10416.873858583613,882488707.4432602,0.9328559992076788,0.00022372880647348803
29508.659604342298,10862.94165715615,870760991.6449429,0.933748300437386,0.00022889465786689935
30934.402477653955,12830.632346261093,956937256.6494832,0.9271915942076735,0.00024187599503716758
29184.021254360006,14274.580371489244,851707096.5749366,0.9351980127508543,0.00023765584757161695
28894.74429737412,14004.18377258503,834906248.0106343,0.9364763024103124,0.00024025072885114094
30001.38622541948,12201.779552167449,900083175.4467896,0.9315173271503421,0.00023410174735756807
25659.980318866063,9765.815817156656,658434589.9645938,0.9499031180145533,0.00023207934789879378
31681.402035994324,11800.709602331332,1003711234.9663054,0.9236328041510125,0.00024042781009230504
27983.228539410946,12231.14300660351,783061079.4889033,0.9404209330973005,0.00023457789143850637
37424.81926799891,11893.355115562095,1400617097.2423823,0.8934342902138181,0.00025122837964878527
26795.20590079253,11799.784451951777,717983059.2658669,0.9453723830190539,0.0002264938382215278
33461.89960554171,12226.330361956774,1119698725.2113523,0.9148079160009128,0.00023289128791454227
29846.583563234275,15106.62949661211,890818550.3971264,0.9322222245461143,0.0002481213142705518
32147.072285003145,11610.098664216064,1033434256.4972174,0.9213713331946263,0.00023778233417244844
24781.141307504407,10009.422359641952,614104964.5025012,0.9532759299067003,0.00025623031826906424
27105.38663259908,10300.619147229376,734701984.5026809,0.9441003264818097,0.00026069373585457025
